424120108,-712977546,33922
424120118,-712977521,34325
424120132,-712977499,34721
424120136,-712977483,35059
424120144,-712977472,35388
424120150,-712977465,35558
424120165,-712977458,35925
424120179,-712977445,36274
424120182,-712977439,36380
424120189,-712977434,36606
424120197,-712977432,36857
424120203,-712977428,37082
424120214,-712977422,37344
424120209,-712977429,37360
424120217,-712977423,37700
424120231,-712977425,37889
424120234,-712977425,37904
424120237,-712977434,37845
424120249,-712977431,38122
424120247,-712977443,38008
424120254,-712977449,38139
424120253,-712977451,38265
424120246,-712977453,38359
424120235,-712977455,38258
424120221,-712977457,38210
424120207,-712977461,38126
424120206,-712977461,38321
424120210,-712977465,38472
424120213,-712977473,38652
424120218,-712977473,38984
424120221,-712977477,39202
424120236,-712977480,39411
424120265,-712977477,39760
424120289,-712977473,40049
424120292,-712977495,39946
424120326,-712977487,40384
424120340,-712977478,40583
424120385,-712977461,40871
424120407,-712977475,41064
424120419,-712977496,40969
424120428,-712977510,41030
424120439,-712977522,41200
424120452,-712977535,41299
424120455,-712977547,41401
424120466,-712977562,41452
424120472,-712977578,41455
424120475,-712977597,41293
424120466,-712977613,41038
424120457,-712977626,40898
424120450,-712977639,40670
424120441,-712977652,40395
424120439,-712977660,40144
424120435,-712977664,39863
424120430,-712977666,39579
424120426,-712977666,39350
424120422,-712977663,39154
424120416,-712977661,38950
424120409,-712977658,38819
424120391,-712977645,38771
424120373,-712977635,38764
424120352,-712977624,38772
424120340,-712977610,38909
424120332,-712977601,39001
424120323,-712977591,39072
424120315,-712977581,39260
424120312,-712977573,39374
424120305,-712977560,39579
424120294,-712977552,39674
424120289,-712977546,39761
424120278,-712977531,39905
424124528,-712981950,40596
424117960,-712975074,56238
424118556,-712975353,49900
424118813,-712975448,43958
424119485,-712976267,39273
424119590,-712976540,36506
424119594,-712976514,37042
424119548,-712976583,36509
424119541,-712976598,35598
424119566,-712976740,34163
424119574,-712976807,33192
424119601,-712976863,32016
424119628,-712976975,30768
424119665,-712977091,29331
424119703,-712977156,28813
424119785,-712977312,27888
424119801,-712977353,27824
424121855,-712975410,79431
424122089,-712976921,65125
424121765,-712977943,51426
424122015,-712978123,51689
424122058,-712978049,53489
424121983,-712977875,55908
424121974,-712977749,57651
424121987,-712977637,59385
424121989,-712977552,60662
424122016,-712977473,61695
424122067,-712977420,63495
424122081,-712977388,64994
424122082,-712977382,65826
424122090,-712977376,66824
424122088,-712977387,67601
424122082,-712977397,68265
424122067,-712977407,68346
424122051,-712977418,68115
424122054,-712977432,68059
424122063,-712977444,68053
424122085,-712977430,68075
424122100,-712977433,68143
424122111,-712977420,67979
424122120,-712977411,67880
424122137,-712977409,67869
424122150,-712977412,67862
424122175,-712977410,67983
424122208,-712977409,68255
424122234,-712977409,68427
424122238,-712977415,68432
424122211,-712977436,67941
424122168,-712977468,67308
424122133,-712977506,66697
424122096,-712977545,66120
424122074,-712977575,65704
424122072,-712977593,65537
424122064,-712977610,65334
424122065,-712977628,65106
424122078,-712977646,65015
424122093,-712977663,65039
424122111,-712977691,65095
424122128,-712977717,65099
424122146,-712977739,65090
424122180,-712977753,65128
424122207,-712977764,65135
424122233,-712977770,65222
424122256,-712977771,65297
424122282,-712977773,65307
424122314,-712977774,65459
424122329,-712977770,65470
424122343,-712977760,65500
424122349,-712977752,65558
424122347,-712977750,65566
424122333,-712977744,65530
424122332,-712977737,65606
424122233,-712977744,64588
424122217,-712977741,64605
424122199,-712977742,64598
424122187,-712977746,64516
424122190,-712977741,64594
424122184,-712977741,64593
424122179,-712977741,64611
424122195,-712977745,64701
424122203,-712977752,64744
424122204,-712977753,64745
424122217,-712977760,64751
424122181,-712977773,64210
424122149,-712977789,63719
424122127,-712977805,63220
424122137,-712977808,63068
424122146,-712977813,62894
424122157,-712977812,62718
424122174,-712977804,62546
424122165,-712977798,62133
424125564,-712976906,103131
424124286,-712976689,89620
424124073,-712976798,85070
424123841,-712976900,82729
424123501,-712977076,79042
424123225,-712977217,76992
424123083,-712977276,75920
424122992,-712977311,75459
424122964,-712977338,75377
424122938,-712977380,75181
424122921,-712977411,74613
424122909,-712977421,74029
424122933,-712977416,74148
424122949,-712977415,74591
424122951,-712977435,75102
424122891,-712977472,74885
424122911,-712977474,75063
424122929,-712977478,75152
424122945,-712977472,74873
424122938,-712977492,74396
424122904,-712977504,73834
424122863,-712977513,73216
424122834,-712977514,72693
424122843,-712977494,72407
424122863,-712977469,72155
424122864,-712977470,71757
424122879,-712977440,71440
424122870,-712977427,71273
424122857,-712977410,71063
424122839,-712977393,70954
424122826,-712977369,70913
424122811,-712977344,70664
424122795,-712977333,70395
424122799,-712977303,70125
424122825,-712977277,70320
424122813,-712977288,70307
424122788,-712977298,70115
424122770,-712977313,69882
424122730,-712977324,69294
424122705,-712977338,68906
424122677,-712977364,68419
424122666,-712977387,68112
424122637,-712977408,67607
424122625,-712977435,67211
424122593,-712977451,66514
424122577,-712977473,66078
424122556,-712977501,65578
424122539,-712977533,65260
424122521,-712977557,64899
424122517,-712977567,64753
424122507,-712977583,64584
424122502,-712977598,64494
424122495,-712977613,64394
424122484,-712977623,64263
424122469,-712977628,64184
424122460,-712977625,64154
424122448,-712977627,64063
424122403,-712977641,64076
424122389,-712977648,64063
424122377,-712977659,63996
424122365,-712977667,63828
424122364,-712977677,63755
424122351,-712977696,63620
424122350,-712977695,63617
424154652,-712912883,63617
424121646,-712977580,63819
424121362,-712977777,54320
424121088,-712978060,48213
424121233,-712978059,47100
424121228,-712978078,46673
424121238,-712978142,44854
424121200,-712978136,45405
424121195,-712978131,45822
424121162,-712978138,46401
424121189,-712978119,46433
424121186,-712978126,46943
424121191,-712978129,46525
424121163,-712978146,46794
424121129,-712978165,47101
424121116,-712978183,47133
424121107,-712978219,47663
424121093,-712978255,48222
424121098,-712978275,48789
424121107,-712978271,49391
424121096,-712978280,49883
424121077,-712978277,50404
424121087,-712978282,50763
424121115,-712978282,51258
424121173,-712978220,51907
424121194,-712978201,52109
424121215,-712978182,52105
424121228,-712978169,52119
424121205,-712978131,52143
424121199,-712978087,51846
424121188,-712978075,51365
424121220,-712978018,51338
424121246,-712977980,51296
424121289,-712977945,51879
424121321,-712977899,52244
424121318,-712977850,52498
424121309,-712977799,52944
424121322,-712977740,53399
424121347,-712977690,53921
424121343,-712977626,54385
424121333,-712977580,54710
424121340,-712977557,55273
424121333,-712977550,55878
424121294,-712977527,56123
424121307,-712977509,56172
424121300,-712977505,56164
424121296,-712977501,56068
424121273,-712977518,55596
424121247,-712977541,55079
424121236,-712977564,54770
424121222,-712977568,54577
424121223,-712977597,54263
424121269,-712977614,54343
424121286,-712977592,54413
424121283,-712977627,54044
424121285,-712977644,53733
424121288,-712977670,53503
424121300,-712977681,53713
424121280,-712977663,53611
424121310,-712977671,53373
424121341,-712977691,52969
424121346,-712977711,52141
424121360,-712977700,51805
424121356,-712977669,51624
424121344,-712977633,51410
424121358,-712977597,51319
424121350,-712977585,50869
424121357,-712977562,50392
424121323,-712977552,49516
424121291,-712977554,49172
424121263,-712977574,48860
424121261,-712977603,48619
424121226,-712977603,48255
424121234,-712977611,48147
424121236,-712977615,48027
424121226,-712977621,48018
424121201,-712977564,47675
424121154,-712977426,47445
424121115,-712977335,46918
424121085,-712977258,46566
424121077,-712977241,46868
424121075,-712977242,46715
424121083,-712977233,46135
424121061,-712977231,46032
424121029,-712977235,45768
424120986,-712977284,45490
424120917,-712977316,45187
424120925,-712977322,44888
424120902,-712977337,44464
424120871,-712977409,44214
424120846,-712977456,44227
424120780,-712977525,44736
424120764,-712977569,45295
424120754,-712977591,44692
424120712,-712977609,44828
424120682,-712977608,45257
424120662,-712977573,45091
424120678,-712977567,45013
424120669,-712977556,44660
424120549,-712977576,44659
424120486,-712977611,44498
424120430,-712977635,43680
424120301,-712977662,43293
424120263,-712977667,43442
424120226,-712977690,42774
424120203,-712977680,43288
424120177,-712977668,43560
424120061,-712977659,43230
424119997,-712977682,42291
424120005,-712977714,42061
424120008,-712977697,41848
424119990,-712977692,41310
424119974,-712977692,41159
424119992,-712977667,41332
424120012,-712977661,41699
424120019,-712977701,41367
424120096,-712977656,42023
424120091,-712977652,41842
424120099,-712977640,41900
424120096,-712977634,41811
424120099,-712977631,41903
424120069,-712977641,41567
424120037,-712977641,41306
424120035,-712977640,41481
424120048,-712977637,41549
424120048,-712977634,41367
424120039,-712977651,40864
424120031,-712977666,40641
424120021,-712977676,40510
424120038,-712977684,40767
424120055,-712977697,41061
424120070,-712977707,41431
424120087,-712977698,41810
424120108,-712977705,42299
424120123,-712977709,42713
424120130,-712977713,42950
424120158,-712977712,43541
424120176,-712977707,44074
424120204,-712977708,44796
424120209,-712977688,45193
424120234,-712977677,45965
424120242,-712977656,46552
424120248,-712977632,47186
424120256,-712977628,47808
424120257,-712977647,48176
424120261,-712977642,48497
424120292,-712977600,49280
424120289,-712977587,49507
424120295,-712977574,49650
424120296,-712977561,49514
424120299,-712977543,49468
424120288,-712977534,49068
424120297,-712977523,48900
424120299,-712977507,48476
424120263,-712977508,47735
424120256,-712977503,47434
424120245,-712977510,47022
424120243,-712977511,47071
424120227,-712977505,47168
424120204,-712977504,46965
424120173,-712977504,46669
424120154,-712977512,46377
424120137,-712977528,46468
424120081,-712977495,45592
424120017,-712977490,44671
424120003,-712977449,44385
424119887,-712977471,43166
424119869,-712977460,43108
424119868,-712977460,43106
424118070,-712987629,5514
424120944,-712988090,37251
424120891,-712988109,39212
424120807,-712988072,37131
424120788,-712988045,38704
424120835,-712987975,38488
424120865,-712987999,36101
424120850,-712987954,35324
424120846,-712987935,34057
424120878,-712987908,34753
424120894,-712987874,35486
424120900,-712987851,35590
424120962,-712987855,35783
424121000,-712987867,35796
424121019,-712987911,35701
424121067,-712987961,35767
424121141,-712988001,36053
424121197,-712988084,35266
424121333,-712988220,34797
424121366,-712988278,34468
424121408,-712988349,33631
424121500,-712988374,33794
424121573,-712988416,33812
424121635,-712988515,32842
424121657,-712988597,32105
424121713,-712988659,31935
424121792,-712988755,31674
424121852,-712988855,31861
424121901,-712988956,31897
424121962,-712989043,31756
424122044,-712989141,31806
424122132,-712989241,31902
